Team,City,Conference,Division,Arena,Capacity,Founded,Joined,General manager,Head coach,Captain
Boston Bruins,"Boston, Massachusetts",Eastern,Atlantic,TD Garden,"17,850",1924,1924,Don Sweeney,Bruce Cassidy,Vacant
Buffalo Sabres,"Buffalo, New York",Eastern,Atlantic,KeyBank Center,"19,070",1970,1970,Kevyn Adams,Ralph Krueger,Jack Eichel
Detroit Red Wings,"Detroit, Michigan",Eastern,Atlantic,Little Caesars Arena,"19,515",1926,1926,Steve Yzerman,Jeff Blashill,Vacant
Florida Panthers,"Sunrise, Florida",Eastern,Atlantic,BB&T Center,"19,250",1993,1993,Bill Zito,Joel Quenneville,Aleksander Barkov
Montreal Canadiens,"Montreal, Quebec",Eastern,Atlantic,Bell Centre,"21,302",1909,1917,Marc Bergevin,Claude Julien,Shea Weber
Ottawa Senators,"Ottawa, Ontario",Eastern,Atlantic,Canadian Tire Centre,"18,652",1992,1992,Pierre Dorion,D. J. Smith,Vacant
Tampa Bay Lightning,"Tampa, Florida",Eastern,Atlantic,Amalie Arena,"19,092",1992,1992,Julien BriseBois,Jon Cooper,Steven Stamkos
Toronto Maple Leafs,"Toronto, Ontario",Eastern,Atlantic,Scotiabank Arena,"18,819",1917,1917,Kyle Dubas,Sheldon Keefe,John Tavares
Carolina Hurricanes,"Raleigh, North Carolina",Eastern,Metropolitan,PNC Arena,"18,680",1972,1979,Don Waddell,Rod Brind'Amour,Jordan Staal
Columbus Blue Jackets,"Columbus, Ohio",Eastern,Metropolitan,Nationwide Arena,"18,144",2000,2000,Jarmo Kekalainen,John Tortorella,Nick Foligno
New Jersey Devils,"Newark, New Jersey",Eastern,Metropolitan,Prudential Center,"16,514",1974,1974,Tom Fitzgerald,Lindy Ruff,Vacant
New York Islanders,"Uniondale, New York",Eastern,Metropolitan,Nassau Coliseum,"13,917",1972,1972,Lou Lamoriello,Barry Trotz,Anders Lee
New York Rangers,"New York City, New York",Eastern,Metropolitan,Madison Square Garden,"18,006",1926,1926,Jeff Gorton,David Quinn,Vacant
Philadelphia Flyers,"Philadelphia, Pennsylvania",Eastern,Metropolitan,Wells Fargo Center,"19,500",1967,1967,Chuck Fletcher,Alain Vigneault,Claude Giroux
Pittsburgh Penguins,"Pittsburgh, Pennsylvania",Eastern,Metropolitan,PPG Paints Arena,"18,387",1967,1967,Jim Rutherford,Mike Sullivan,Sidney Crosby
Washington Capitals,"Washington, D.C.",Eastern,Metropolitan,Capital One Arena,"18,506",1974,1974,Brian MacLellan,Peter Laviolette,Alexander Ovechkin
Chicago Blackhawks,"Chicago, Illinois",Western,Central,United Center,"19,717",1926,1926,Stan Bowman,Jeremy Colliton,Jonathan Toews
Colorado Avalanche,"Denver, Colorado",Western,Central,Ball Arena,"18,007",1972,1979,Joe Sakic,Jared Bednar,Gabriel Landeskog
Dallas Stars,"Dallas, Texas",Western,Central,American Airlines Center,"18,532",1967,1967,Jim Nill,Rick Bowness,Jamie Benn
Minnesota Wild,"Saint Paul, Minnesota",Western,Central,Xcel Energy Center,"17,954",2000,2000,Bill Guerin,Dean Evason,Vacant
Nashville Predators,"Nashville, Tennessee",Western,Central,Bridgestone Arena,"17,113",1998,1998,David Poile,John Hynes,Roman Josi
St. Louis Blues,"St. Louis, Missouri",Western,Central,Enterprise Center,"18,724",1967,1967,Doug Armstrong,Craig Berube,Vacant
Winnipeg Jets,"Winnipeg, Manitoba",Western,Central,Bell MTS Place,"15,321",1999,1999,Kevin Cheveldayoff,Paul Maurice,Blake Wheeler
Anaheim Ducks,"Anaheim, California",Western,Pacific,Honda Center,"17,174",1993,1993,Bob Murray,Dallas Eakins,Ryan Getzlaf
Arizona Coyotes,"Glendale, Arizona",Western,Pacific,Gila River Arena,"17,125",1972,1979,Bill Armstrong,Rick Tocchet,Oliver Ekman-Larsson
Calgary Flames,"Calgary, Alberta",Western,Pacific,Scotiabank Saddledome,"19,289",1972,1972,Brad Treliving,Geoff Ward,Mark Giordano
Edmonton Oilers,"Edmonton, Alberta",Western,Pacific,Rogers Place,"18,347",1972,1979,Ken Holland,Dave Tippett,Connor McDavid
Los Angeles Kings,"Los Angeles, California",Western,Pacific,Staples Center,"18,230",1967,1967,Rob Blake,Todd McLellan,Anze Kopitar
San Jose Sharks,"San Jose, California",Western,Pacific,SAP Center,"17,562",1991,1991,Doug Wilson,Bob Boughner,Logan Couture
Vancouver Canucks,"Vancouver, British Columbia",Western,Pacific,Rogers Arena,"18,910",1945,1970,Jim Benning,Travis Green,Bo Horvat
Vegas Golden Knights,"Paradise, Nevada",Western,Pacific,T-Mobile Arena,"17,356",2017,2017,Kelly McCrimmon,Peter DeBoer,Vacant
