,first_name,last_name,position,team,GP,G,A,PTS,PIM
0,Leon,Draisaitl, C ,EDM,71,43,67,110,18
1,Connor,McDavid, C ,EDM,64,34,63,97,28
2,David,Pastrnak, RW,BOS,70,48,47,95,40
3,Artemi,Panarin, LW,NYR,69,32,63,95,20
4,Nathan,MacKinnon, C ,COL,69,35,58,93,12
5,Brad,Marchand, LW,BOS,70,28,59,87,82
6,Nikita,Kucherov, RW,TB,68,33,52,85,38
7,Patrick,Kane, RW,CHI,70,33,51,84,40
8,Auston,Matthews, C ,TOR,70,47,33,80,8
9,Jack,Eichel, C ,BUF,68,36,42,78,34
10,Jonathan,Huberdeau, C ,FLA,69,23,55,78,30
11,Mika,Zibanejad, C ,NYR,57,41,34,75,14
12,John,Carlson, D ,WSH,69,15,60,75,26
13,Evgeni,Malkin, C ,PIT,55,25,49,74,58
14,Kyle,Connor, LW,WPG,71,38,35,73,34
15,Mark,Scheifele, C ,WPG,71,29,44,73,45
16,J.T.,Miller, C ,VAN,69,27,45,72,47
17,Alex,Ovechkin, LW,WSH,68,48,19,67,30
18,Mitch,Marner, C ,TOR,59,16,51,67,16
19,Sebastian,Aho, LW,CAR,68,38,28,66,26
20,Max,Pacioretty, LW,VGS,71,32,34,66,44
21,Steven,Stamkos, C ,TB,57,29,37,66,22
22,Elias,Pettersson, C ,VAN,68,27,39,66,18
23,Blake,Wheeler, RW,WPG,71,22,43,65,37
24,Roman,Josi, D ,NSH,69,16,49,65,41
25,Brayden,Point, C ,TB,66,25,39,64,11
26,Patrik,Laine, RW,WPG,68,28,35,63,22
27,Mark,Stone, RW,VGS,65,21,42,63,27
28,Teuvo,Teravainen, LW,CAR,68,15,48,63,8
29,Anze,Kopitar, C ,LA,70,21,41,62,16
30,Aleksander,Barkov, C ,FLA,66,20,42,62,18
31,Travis,Konecny, C ,PHI,66,24,37,61,28
32,Andrei,Svechnikov, RW,CAR,68,24,37,61,54
33,Matthew,Tkachuk, LW,CGY,69,23,38,61,74
34,Tomas,Tatar, LW,MTL,68,22,39,61,36
35,Ryan,Nugent-Hopkins, C ,EDM,65,22,39,61,33
36,Ryan,O'Reilly, C ,STL,71,12,49,61,10
37,John,Tavares, C ,TOR,63,26,34,60,24
38,David,Perron, LW,STL,71,25,35,60,52
39,Mathew,Barzal, C ,NYI,68,19,41,60,44
40,Jonathan,Toews, C ,CHI,70,18,42,60,48
41,William,Nylander, RW,TOR,68,31,28,59,12
42,Mike,Hoffman, LW,FLA,69,29,30,59,28
43,Sean,Couturier, C ,PHI,69,22,37,59,30
44,Ryan,Strome, C ,NYR,70,18,41,59,48
45,Brayden,Schenn, C ,STL,71,25,33,58,44
46,Nikolaj,Ehlers, LW,WPG,71,25,33,58,30
47,Johnny,Gaudreau, LW,CGY,70,18,40,58,12
48,Jaden,Schwartz, LW,STL,71,22,35,57,18
49,Patrice,Bergeron, C ,BOS,61,31,25,56,28
50,Bryan,Rust, RW,PIT,55,27,29,56,30
51,Jakub,Voracek, RW,PHI,69,12,44,56,31
52,Victor,Hedman, D ,TB,66,11,44,55,31
53,Elias,Lindholm, C ,CGY,70,29,25,54,22
54,Reilly,Smith, RW,VGS,71,27,27,54,20
55,Brock,Nelson, C ,NYI,68,26,28,54,32
56,Kevin,Fiala, LW,MIN,64,23,31,54,42
57,Nicklas,Backstrom, C ,WSH,61,12,42,54,14
58,Bo,Horvat, C ,VAN,69,22,31,53,21
59,Claude,Giroux, LW,PHI,69,21,32,53,28
60,Dylan,Larkin, C ,DET,71,19,34,53,39
61,Tony,DeAngelo, D ,NYR,68,15,38,53,47
62,Quinn,Hughes, D ,VAN,68,8,45,53,22
63,Jakub,Vrana, C ,WSH,69,25,27,52,18
64,Evgeny,Kuznetsov, C ,WSH,63,19,33,52,40
65,Alex,Pietrangelo, D ,STL,70,16,36,52,20
66,Taylor,Hall, LW,NJ/ARI,65,16,36,52,34
67,Sam,Reinhart, C ,BUF,69,22,28,50,20
68,Tyler,Seguin, C ,DAL,69,17,33,50,22
69,Cale,Makar, D ,COL,57,12,38,50,12
70,Alex,Killorn, C ,TB,68,26,23,49,20
71,T.J.,Oshie, RW,WSH,69,26,23,49,26
72,Timo,Meier, RW,SJ,70,22,27,49,42
73,Pierre-Luc,Dubois, C ,CBJ,70,18,31,49,49
74,Torey,Krug, D ,BOS,61,9,40,49,33
75,Sean,Monahan, C ,CGY,70,22,26,48,25
76,Filip,Forsberg, C ,NSH,63,21,27,48,29
77,Tyler,Bertuzzi, LW,DET,71,21,27,48,40
78,Ryan,Suter, D ,MIN,69,8,40,48,12
79,Evander,Kane, LW,SJ,64,26,21,47,122
80,Evgenii,Dadonov, RW,FLA,69,25,22,47,10
81,Jonathan,Marchessault, C ,VGS,66,22,25,47,28
82,Eric,Staal, C ,MIN,66,19,28,47,28
83,Sidney,Crosby, C ,PIT,41,16,31,47,15
84,Phillip,Danault, C ,MTL,71,13,34,47,32
85,Dominik,Kubalik, LW,CHI,68,30,16,46,16
86,Zach,Parise, LW,MIN,69,25,21,46,8
87,Pavel,Buchnevich, LW,NYR,68,16,30,46,24
88,William,Karlsson, C ,VGS,63,15,31,46,16
89,Shea,Theodore, D ,VGS,71,13,33,46,25
90,Kyle,Palmieri, RW,NJ,65,25,20,45,41
91,Chris,Kreider, LW,NYR,63,24,21,45,58
92,Tanner,Pearson, LW,VAN,69,21,24,45,27
93,Andre,Burakovsky, LW,COL,58,20,25,45,22
94,Alex,DeBrincat, RW,CHI,70,18,27,45,15
95,Mikael,Backlund, C ,CGY,70,16,29,45,26
96,Brock,Boeser, RW,VAN,57,16,29,45,14
97,Brent,Burns, D ,SJ,70,12,33,45,34
98,Nick,Schmaltz, C ,ARI,70,11,34,45,20
99,Neal,Pionk, D ,WPG,71,6,39,45,32
100,Keith,Yandle, D ,FLA,69,5,40,45,20
101,Tyler,Toffoli, RW,LA/VAN,68,24,20,44,20
102,Brady,Tkachuk, LW,OTT,71,21,23,44,106
103,Gabriel,Landeskog, LW,COL,54,21,23,44,47
104,Tom,Wilson, RW,WSH,68,21,23,44,93
105,Clayton,Keller, C ,ARI,70,17,27,44,28
106,Max,Domi, C ,MTL,71,17,27,44,35
107,Anthony,Cirelli, C ,TB,68,16,28,44,30
108,Kris,Letang, D ,PIT,61,15,29,44,38
109,Nikita,Gusev, LW,NJ,66,13,31,44,12
110,Adam,Henrique, C ,ANA,71,26,17,43,22
111,Brendan,Gallagher, RW,MTL,59,22,21,43,29
112,Anders,Lee, LW,NYI,68,20,23,43,47
113,Jake,Guentzel, C ,PIT,39,20,23,43,14
114,Alex,Iafallo, C ,LA,70,17,26,43,14
115,Connor,Brown, RW,OTT,71,16,27,43,24
116,Josh,Bailey, LW,NYI,68,14,29,43,10
117,David,Krejci, C ,BOS,61,13,30,43,23
118,Jean-Gabriel,Pageau, C ,NYI/OTT,67,26,16,42,49
119,Victor,Olofsson, RW,BUF,54,20,22,42,6
120,Gustav,Nyquist, C ,CBJ,70,15,27,42,16
121,Rickard,Rakell, C ,ANA,65,15,27,42,12
122,Ryan,Getzlaf, C ,ANA,69,13,29,42,58
123,Matt,Duchene, C ,NSH,66,13,29,42,24
124,Robert,Thomas, C ,STL,66,10,32,42,18
125,Adam,Fox, D ,NYR,70,8,34,42,32
