,first_name,last_name,GP,G,A,PTS,PIM
0,Leon,Draisaitl,71,43,67,110,18
1,Connor,McDavid,64,34,63,97,28
2,David,Pastrnak,70,48,47,95,40
3,Artemi,Panarin,69,32,63,95,20
4,Nathan,MacKinnon,69,35,58,93,12
5,Brad,Marchand,70,28,59,87,82
6,Nikita,Kucherov,68,33,52,85,38
7,Patrick,Kane,70,33,51,84,40
8,Auston,Matthews,70,47,33,80,8
9,Jack,Eichel,68,36,42,78,34
10,Jonathan,Huberdeau,69,23,55,78,30
11,Mika,Zibanejad,57,41,34,75,14
12,John,Carlson,69,15,60,75,26
13,Evgeni,Malkin,55,25,49,74,58
14,Kyle,Connor,71,38,35,73,34
15,Mark,Scheifele,71,29,44,73,45
16,J.T.,Miller,69,27,45,72,47
17,Alex,Ovechkin,68,48,19,67,30
18,Mitch,Marner,59,16,51,67,16
19,Sebastian,Aho,68,38,28,66,26
20,Max,Pacioretty,71,32,34,66,44
21,Steven,Stamkos,57,29,37,66,22
22,Elias,Pettersson,68,27,39,66,18
23,Blake,Wheeler,71,22,43,65,37
24,Roman,Josi,69,16,49,65,41
25,Brayden,Point,66,25,39,64,11
26,Patrik,Laine,68,28,35,63,22
27,Mark,Stone,65,21,42,63,27
28,Teuvo,Teravainen,68,15,48,63,8
29,Anze,Kopitar,70,21,41,62,16
30,Aleksander,Barkov,66,20,42,62,18
31,Travis,Konecny,66,24,37,61,28
32,Andrei,Svechnikov,68,24,37,61,54
33,Matthew,Tkachuk,69,23,38,61,74
34,Tomas,Tatar,68,22,39,61,36
35,Ryan,Nugent-Hopkins,65,22,39,61,33
36,Ryan,O'Reilly,71,12,49,61,10
37,John,Tavares,63,26,34,60,24
38,David,Perron,71,25,35,60,52
39,Mathew,Barzal,68,19,41,60,44
40,Jonathan,Toews,70,18,42,60,48
41,William,Nylander,68,31,28,59,12
42,Mike,Hoffman,69,29,30,59,28
43,Sean,Couturier,69,22,37,59,30
44,Ryan,Strome,70,18,41,59,48
45,Brayden,Schenn,71,25,33,58,44
46,Nikolaj,Ehlers,71,25,33,58,30
47,Johnny,Gaudreau,70,18,40,58,12
48,Jaden,Schwartz,71,22,35,57,18
49,Patrice,Bergeron,61,31,25,56,28
50,Bryan,Rust,55,27,29,56,30
51,Jakub,Voracek,69,12,44,56,31
52,Victor,Hedman,66,11,44,55,31
53,Elias,Lindholm,70,29,25,54,22
54,Reilly,Smith,71,27,27,54,20
55,Brock,Nelson,68,26,28,54,32
56,Kevin,Fiala,64,23,31,54,42
57,Nicklas,Backstrom,61,12,42,54,14
58,Bo,Horvat,69,22,31,53,21
59,Claude,Giroux,69,21,32,53,28
60,Dylan,Larkin,71,19,34,53,39
61,Tony,DeAngelo,68,15,38,53,47
62,Quinn,Hughes,68,8,45,53,22
63,Jakub,Vrana,69,25,27,52,18
64,Evgeny,Kuznetsov,63,19,33,52,40
65,Alex,Pietrangelo,70,16,36,52,20
66,Taylor,Hall,65,16,36,52,34
67,Sam,Reinhart,69,22,28,50,20
68,Tyler,Seguin,69,17,33,50,22
69,Cale,Makar,57,12,38,50,12
70,Alex,Killorn,68,26,23,49,20
71,T.J.,Oshie,69,26,23,49,26
72,Timo,Meier,70,22,27,49,42
73,Pierre-Luc,Dubois,70,18,31,49,49
74,Torey,Krug,61,9,40,49,33
75,Sean,Monahan,70,22,26,48,25
76,Filip,Forsberg,63,21,27,48,29
77,Tyler,Bertuzzi,71,21,27,48,40
78,Ryan,Suter,69,8,40,48,12
79,Evander,Kane,64,26,21,47,122
80,Evgenii,Dadonov,69,25,22,47,10
81,Jonathan,Marchessault,66,22,25,47,28
82,Eric,Staal,66,19,28,47,28
83,Sidney,Crosby,41,16,31,47,15
84,Phillip,Danault,71,13,34,47,32
85,Dominik,Kubalik,68,30,16,46,16
86,Zach,Parise,69,25,21,46,8
87,Pavel,Buchnevich,68,16,30,46,24
88,William,Karlsson,63,15,31,46,16
89,Shea,Theodore,71,13,33,46,25
90,Kyle,Palmieri,65,25,20,45,41
91,Chris,Kreider,63,24,21,45,58
92,Tanner,Pearson,69,21,24,45,27
93,Andre,Burakovsky,58,20,25,45,22
94,Alex,DeBrincat,70,18,27,45,15
95,Mikael,Backlund,70,16,29,45,26
