,first_name,last_name,team,position
0,Leon,Draisaitl,EDM, C 
1,Connor,McDavid,EDM, C 
2,David,Pastrnak,BOS, RW
3,Artemi,Panarin,NYR, LW
4,Nathan,MacKinnon,COL, C 
5,Brad,Marchand,BOS, LW
6,Nikita,Kucherov,TB, RW
7,Patrick,Kane,CHI, RW
8,Auston,Matthews,TOR, C 
9,Jack,Eichel,BUF, C 
10,Jonathan,Huberdeau,FLA, C 
11,Mika,Zibanejad,NYR, C 
12,John,Carlson,WSH, D 
13,Evgeni,Malkin,PIT, C 
14,Kyle,Connor,WPG, LW
15,Mark,Scheifele,WPG, C 
16,J.T.,Miller,VAN, C 
17,Alex,Ovechkin,WSH, LW
18,Mitch,Marner,TOR, C 
19,Sebastian,Aho,CAR, LW
20,Max,Pacioretty,VGS, LW
21,Steven,Stamkos,TB, C 
22,Elias,Pettersson,VAN, C 
23,Blake,Wheeler,WPG, RW
24,Roman,Josi,NSH, D 
25,Brayden,Point,TB, C 
26,Patrik,Laine,WPG, RW
27,Mark,Stone,VGS, RW
28,Teuvo,Teravainen,CAR, LW
29,Anze,Kopitar,LA, C 
30,Aleksander,Barkov,FLA, C 
31,Travis,Konecny,PHI, C 
32,Andrei,Svechnikov,CAR, RW
33,Matthew,Tkachuk,CGY, LW
34,Tomas,Tatar,MTL, LW
35,Ryan,Nugent-Hopkins,EDM, C 
36,Ryan,O'Reilly,STL, C 
37,John,Tavares,TOR, C 
38,David,Perron,STL, LW
39,Mathew,Barzal,NYI, C 
40,Jonathan,Toews,CHI, C 
41,William,Nylander,TOR, RW
42,Mike,Hoffman,FLA, LW
43,Sean,Couturier,PHI, C 
44,Ryan,Strome,NYR, C 
45,Brayden,Schenn,STL, C 
46,Nikolaj,Ehlers,WPG, LW
47,Johnny,Gaudreau,CGY, LW
48,Jaden,Schwartz,STL, LW
49,Patrice,Bergeron,BOS, C 
50,Bryan,Rust,PIT, RW
51,Jakub,Voracek,PHI, RW
52,Victor,Hedman,TB, D 
53,Elias,Lindholm,CGY, C 
54,Reilly,Smith,VGS, RW
55,Brock,Nelson,NYI, C 
56,Kevin,Fiala,MIN, LW
57,Nicklas,Backstrom,WSH, C 
58,Bo,Horvat,VAN, C 
59,Claude,Giroux,PHI, LW
60,Dylan,Larkin,DET, C 
61,Tony,DeAngelo,NYR, D 
62,Quinn,Hughes,VAN, D 
63,Jakub,Vrana,WSH, C 
64,Evgeny,Kuznetsov,WSH, C 
65,Alex,Pietrangelo,STL, D 
66,Taylor,Hall,NJ/ARI, LW
67,Sam,Reinhart,BUF, C 
68,Tyler,Seguin,DAL, C 
69,Cale,Makar,COL, D 
70,Alex,Killorn,TB, C 
71,T.J.,Oshie,WSH, RW
72,Timo,Meier,SJ, RW
73,Pierre-Luc,Dubois,CBJ, C 
74,Torey,Krug,BOS, D 
75,Sean,Monahan,CGY, C 
76,Filip,Forsberg,NSH, C 
77,Tyler,Bertuzzi,DET, LW
78,Ryan,Suter,MIN, D 
79,Evander,Kane,SJ, LW
80,Evgenii,Dadonov,FLA, RW
81,Jonathan,Marchessault,VGS, C 
82,Eric,Staal,MIN, C 
83,Sidney,Crosby,PIT, C 
84,Phillip,Danault,MTL, C 
85,Dominik,Kubalik,CHI, LW
86,Zach,Parise,MIN, LW
87,Pavel,Buchnevich,NYR, LW
88,William,Karlsson,VGS, C 
89,Shea,Theodore,VGS, D 
90,Kyle,Palmieri,NJ, RW
91,Chris,Kreider,NYR, LW
92,Tanner,Pearson,VAN, LW
93,Andre,Burakovsky,COL, LW
94,Alex,DeBrincat,CHI, RW
95,Mikael,Backlund,CGY, C 
96,Brock,Boeser,VAN, RW
97,Brent,Burns,SJ, D 
98,Nick,Schmaltz,ARI, C 
99,Neal,Pionk,WPG, D 
100,Keith,Yandle,FLA, D 
101,Tyler,Toffoli,LA/VAN, RW
102,Brady,Tkachuk,OTT, LW
103,Gabriel,Landeskog,COL, LW
104,Tom,Wilson,WSH, RW
105,Clayton,Keller,ARI, C 
106,Max,Domi,MTL, C 
107,Anthony,Cirelli,TB, C 
108,Kris,Letang,PIT, D 
109,Nikita,Gusev,NJ, LW
110,Adam,Henrique,ANA, C 
111,Brendan,Gallagher,MTL, RW
112,Anders,Lee,NYI, LW
113,Jake,Guentzel,PIT, C 
114,Alex,Iafallo,LA, C 
115,Connor,Brown,OTT, RW
116,Josh,Bailey,NYI, LW
117,David,Krejci,BOS, C 
118,Jean-Gabriel,Pageau,NYI/OTT, C 
119,Victor,Olofsson,BUF, RW
120,Gustav,Nyquist,CBJ, C 
121,Rickard,Rakell,ANA, C 
122,Ryan,Getzlaf,ANA, C 
123,Matt,Duchene,NSH, C 
124,Robert,Thomas,STL, C 
125,Adam,Fox,NYR, D 
126,Kevin,Hayes,PHI, C 
127,Zach,Werenski,CBJ, D 
128,Jason,Zucker,PIT/MIN, LW
129,Mikko,Rantanen,COL, RW
130,Ondrej,Palat,TB, LW
131,Nick,Suzuki,MTL, C 
132,Aaron,Ekblad,FLA, D 
