team_id,franchiseId,shortName,teamName,abbreviation,link
24,32,Anaheim,Ducks,ANA,/api/v1/teams/24
53,28,Arizona,Coyotes,ARI,/api/v1/teams/53
11,35,Atlanta,Thrashers,ATL,/api/v1/teams/11
6,6,Boston,Bruins,BOS,/api/v1/teams/6
7,19,Buffalo,Sabres,BUF,/api/v1/teams/7
12,26,Carolina,Hurricanes,CAR,/api/v1/teams/12
29,36,Columbus,Blue Jackets,CBJ,/api/v1/teams/29
20,21,Calgary,Flames,CGY,/api/v1/teams/20
16,11,Chicago,Blackhawks,CHI,/api/v1/teams/16
21,27,Colorado,Avalanche,COL,/api/v1/teams/21
25,15,Dallas,Stars,DAL,/api/v1/teams/25
17,12,Detroit,Red Wings,DET,/api/v1/teams/17
22,25,Edmonton,Oilers,EDM,/api/v1/teams/22
13,33,Florida,Panthers,FLA,/api/v1/teams/13
26,14,Los Angeles,Kings,LA,/api/v1/teams/26
30,37,Minnesota,Wild,MIN,/api/v1/teams/30
8,1,Montreal,Canadiens,MTL,/api/v1/teams/8
1,23,New Jersey,Devils,NJ,/api/v1/teams/1
18,34,Nashville,Predators,NSH,/api/v1/teams/18
2,22,New York,Islanders,NYI,/api/v1/teams/2
3,10,New York,Rangers,NYR,/api/v1/teams/3
9,30,Ottawa,Senators,OTT,/api/v1/teams/9
4,16,Philadelphia,Flyers,PHI,/api/v1/teams/4
27,28,Phoenix,Coyotes,PHX,/api/v1/teams/27
5,17,Pittsburgh,Penguins,PIT,/api/v1/teams/5
28,29,San Jose,Sharks,SJ,/api/v1/teams/28
19,18,St. Louis,Blues,STL,/api/v1/teams/19
14,31,Tampa Bay,Lightning,TB,/api/v1/teams/14
10,5,Toronto,Maple Leafs,TOR,/api/v1/teams/10
23,20,Vancouver,Canucks,VAN,/api/v1/teams/23
54,38,Vegas,Golden Knights,VGS,/api/v1/teams/54
52,35,Winnipeg,Jets,WPG,/api/v1/teams/52
15,24,Washington,Capitals,WSH,/api/v1/teams/15
